"LEAGUE","NAME","DY+/-","PLAYER ID","POS","SEASON","GP","EV P1/GP","PP P1/GP","P1/GP","EV G","EV A1","EV A2","EV P1","PP G","PP A1","PP A2","PP P1","SH G","SH A1","SH A2","EV SHOTS","EV SH%","PP SHOTS","PP SH%","SHOTS","S%","TG","TP1","TP","TP/GP","Goals/P1","EV GF","EV GA","EV GF%","EV GF%Rel","OFF EV GF","OFF EV GA","eTOI/GP","P1/e60","DOB","AGE SEPT 15","AGE DEC 31","#","TEAM","HT","SHOOTS","DRAFT YEAR","NHL DRAFT","DRAFT TEAM","NHL TEAM","HEATMAP"
"SHL","Michael Holmqvist","DY+13","5578/michael-holmqvist","F","2010","52","0.1346","0.1154","0.2500","7","0","3","7","2","4","2","6","0","0","0","50","14.00","8","25.00","60","15.00","9","13","18","0.3462","69.23","13","20","39.39","- 20.32","83","56","9.75","1.5385","1979-06-08","31.27","31.56","18","DIF","6'03","L","1997","ANA (1997) - #18","ANA","-",""
"AHL","Corey Potter","DY+8","12299/corey-potter","D","2010","69","0.1739","0.0580","0.2464","3","9","6","12","0","4","4","4","1","0","1","0","0.00","0","0.00","116","3.45","4","17","28","0.4058","18.75","55","45","55.00","6.81","80","86","21.56","0.6858","1984-01-05","26.69","26.99","3","HFD","6'03","R","2002","NYR (2003) - #122","NYR","-",""
"WHL","Cody Smuk","DY+3","21441/cody-smuk","F","2010","69","0.2174","0.0290","0.2464","4","11","3","15","1","1","2","2","0","0","0","0","0.00","0","0.00","0","0.00","5","17","22","0.3188","29.41","34","35","49.28","- 2.15","126","119","12.13","1.2190","1989-05-11","21.34","21.64","10","MJ","-","L","2007","-","-","-",""
"WHL","Jesse Paradis","DY+1","24392/jesse-paradis","F","2010","65","0.2308","0.0000","0.2462","11","4","4","15","0","0","0","0","0","1","0","0","0.00","0","0.00","0","0.00","11","16","20","0.3077","73.33","30","30","50.00","- 1.45","124","117","11.85","1.2460","1991-01-06","19.69","19.99","14","MJ","-","L","2009","-","-","-",""
"QMJHL","Alexandre Mallet","DY","27356/alexandre-mallet","F","2010","65","0.2308","0.0154","0.2462","8","7","2","15","1","0","1","1","0","0","0","0","0.00","0","0.00","77","11.69","9","16","19","0.2923","56.25","22","45","32.84","- 17.37","124","123","12.45","1.1866","1992-05-22","18.31","18.61","21","RIM/ROU","-","R","2010","VAN (2012) - #57","VAN","-",""
"OHL","Thomas Stajan","DY+3","20644/thomas-stajan","F","2010","61","0.2131","0.0328","0.2459","5","8","5","13","1","1","1","2","0","0","0","0","0.00","0","0.00","0","0.00","6","15","21","0.3443","40.00","30","33","47.62","0.09","77","85","15.66","0.9424","1989-01-07","21.69","21.98","14","BRA","-","R","2007","-","-","-",""
"AHL","Travis Turnbull","DY+6","16630/travis-turnbull","F","2010","57","0.2105","0.0175","0.2456","7","5","4","12","1","0","0","1","1","0","0","0","0.00","0","0.00","76","11.84","9","14","18","0.3158","61.54","23","23","50.00","0.83","89","92","12.52","1.1767","1986-07-07","24.19","24.48","9","POR","6'00","R","2004","-","-","-",""
"SHL","Oscar Sundh","DY+5","17056/oscar-sundh","F","2010","53","0.2264","0.0189","0.2453","4","8","7","12","1","0","1","1","0","0","0","49","8.16","4","25.00","58","8.62","5","13","21","0.3962","38.46","26","18","59.09","3.02","97","76","12.70","1.1588","1986-10-22","23.90","24.19","13","HV71","6'02","L","2005","-","-","-",""
"SHL","Mattias Timander","DY+18","1874/mattias-timander","D","2010","49","0.0816","0.1633","0.2449","1","3","5","4","4","4","8","8","0","0","0","55","1.82","47","8.51","106","4.72","5","12","25","0.5102","41.67","31","27","53.45","- 3.58","73","55","22.32","0.6584","1974-04-16","36.41","36.71","7","MODO","6'02","L","1992","-","-","-",""
"SHL","Adam Larsson","DY-1","28196/adam-larsson","D","2010","49","0.1224","0.1224","0.2449","2","4","3","6","2","4","2","6","0","0","0","35","5.71","44","4.55","79","5.06","4","12","17","0.3469","33.33","27","0","100.00","0.00","68","0","17.58","0.8357","1992-11-12","17.84","18.14","5","SKE","6'03","R","2011","NJD (2011) - #4","NJD","SEA",""
"AHL","Dennis McCauley","DY+7","15134/dennis-mccauley","F","2010","45","0.2444","0.0000","0.2444","10","1","3","11","0","0","0","0","0","0","0","0","0.00","0","0.00","63","15.87","10","11","14","0.3111","90.91","21","20","51.22","- 2.48","87","75","11.78","1.2451","1985-08-15","25.08","25.38","28","WOR","6'03","L","2003","-","-","-",""
"NCAA","Kyle Follmer","DY+5","18535/kyle-follmer","D","2010","41","0.1707","0.0732","0.2439","2","5","1","7","0","3","3","3","0","0","0","0","0.00","0","0.00","0","0.00","2","10","14","0.3415","20.00","32","15","68.09","15.02","52","46","16.91","0.8652","1987-09-09","23.02","23.31","39","NMU","5'11","L","2005","-","-","-",""
"AHL","Jake Dowell","DY+7","14312/jake-dowell","F","2010","78","0.2308","0.0000","0.2436","6","12","4","18","0","0","0","0","1","0","0","0","0.00","0","0.00","107","6.54","7","19","23","0.2949","33.33","36","49","42.35","- 11.99","125","105","14.63","0.9989","1985-03-04","25.53","25.83","28","RFD","6'00","L","2003","CHI (2004) - #140","CHI","-",""
"NCAA","Dave Cianfrini","DY+7","14872/dave-cianfrini","D","2010","37","0.0811","0.1622","0.2432","3","0","2","3","4","2","3","6","0","0","1","0","0.00","0","0.00","0","0.00","7","9","15","0.4054","77.78","21","32","39.62","- 19.14","57","40","19.22","0.7594","1985-06-12","25.26","25.55","5","CNS","6'00","L","2003","-","-","-",""
"NCAA","Paul Weisgarber","DY+4","19560/paul-weisgarber","F","2010","37","0.1892","0.0000","0.2432","4","3","3","7","0","0","0","0","2","0","0","0","0.00","0","0.00","0","0.00","6","9","12","0.3243","57.14","15","17","46.88","1.33","46","55","13.16","1.1088","1988-04-18","22.41","22.70","10","AFA","5'10","-","2006","-","-","-",""
"NCAA","Corban Knight","DY+2","23977/corban-knight","F","2010","37","0.1351","0.1081","0.2432","4","1","2","5","2","2","2","4","0","0","0","0","0.00","0","0.00","0","0.00","6","9","13","0.3514","66.67","14","6","70.00","12.06","62","45","11.93","1.2238","1990-09-10","20.01","20.31","10","NDK","6'01","R","2008","FLA (2009) - #135","FLA","-",""
"NCAA","Brandon Roshko","DY+7","15166/brandon-roshko","D","2010","33","0.1212","0.1212","0.2424","1","3","2","4","1","3","2","4","0","0","0","0","0.00","0","0.00","0","0.00","2","8","12","0.3636","25.00","17","27","38.64","- 8.33","31","35","21.43","0.6788","1985-08-22","25.06","25.36","4","ALH","5'09","L","2003","-","-","-",""
"AHL","Brett Sutter","DY+5","18120/brett-sutter","F","2010","66","0.1667","0.0606","0.2424","7","4","6","11","2","2","1","4","0","1","1","0","0.00","0","0.00","130","6.92","9","16","24","0.3636","60.00","27","28","49.09","- 2.74","85","79","15.26","0.9533","1987-06-02","23.29","23.58","27","ABB","6'00","L","2005","CGY (2005) - #179","CGY","-",""
"NCAA","Alex Biega","DY+4","19456/alex-biega","D","2010","33","0.1818","0.0606","0.2424","1","5","2","6","1","1","0","2","0","0","0","0","0.00","0","0.00","0","0.00","2","8","10","0.3030","25.00","28","30","48.28","8.80","30","46","22.72","0.6403","1988-04-04","22.45","22.74","3","HAR","5'10","R","2006","BUF (2006) - #147","BUF","DET",""
"AHL","Joonas Lehtivuori","DY+4","20011/joonas-lehtivuori","D","2010","66","0.1061","0.1364","0.2424","2","5","3","7","3","6","4","9","0","0","0","0","0.00","0","0.00","78","6.41","5","16","23","0.3485","31.25","38","45","45.78","3.45","69","94","20.46","0.7111","1988-07-19","22.16","22.45","2","ADK","5'11","L","2006","PHI (2006) - #101","PHI","-",""
"WHL","David Robinson","DY+2","22659/david-robinson","F","2010","33","0.2424","0.0000","0.2424","5","3","3","8","0","0","0","0","0","0","0","0","0.00","0","0.00","0","0.00","5","8","11","0.3333","62.50","14","23","37.84","- 15.16","53","47","12.54","1.1596","1990-02-06","20.61","20.90","18","CWK","-","L","2008","-","-","-",""
"OHL","Mat Clark","DY+1","24132/mat-clark","D","2010","66","0.0606","0.1818","0.2424","0","4","4","4","7","5","2","12","0","0","1","0","0.00","0","0.00","0","0.00","7","16","23","0.3485","43.75","49","54","47.57","- 0.55","64","69","23.92","0.6081","1990-10-17","19.91","20.21","5","BRA","-","R","2009","ANA (2009) - #37","ANA","-",""
"WHL","Josh Cowen","DY+1","24375/josh-cowen","F","2010","66","0.1818","0.0455","0.2424","8","4","6","12","3","0","0","3","1","0","0","0","0.00","0","0.00","0","0.00","12","16","22","0.3333","73.33","28","33","45.90","- 3.57","93","95","12.67","1.1476","1991-01-04","19.70","19.99","20","RD","-","R","2009","-","-","-",""
"OHL","Ryan Lopes","DY+1","24762/ryan-lopes","F","2010","66","0.2273","0.0000","0.2424","9","6","3","15","0","0","0","0","1","0","0","0","0.00","0","0.00","0","0.00","10","16","19","0.2879","60.00","30","24","55.56","- 2.69","106","76","12.97","1.1212","1991-02-25","19.56","19.85","12","MISS","-","R","2009","-","-","-",""
"WHL","James Martin","DY+1","25396/james-martin","D","2010","66","0.1515","0.0758","0.2424","5","5","3","10","3","2","0","5","0","1","0","0","0.00","0","0.00","0","0.00","8","16","19","0.2879","53.33","47","45","51.09","- 6.20","114","85","16.36","0.8891","1991-05-29","19.29","19.59","4","KTN","-","L","2009","-","-","-",""
"OHL","Joe Rogalski","DY","26190/joe-rogalski","D","2010","66","0.1667","0.0758","0.2424","5","6","5","11","1","4","8","5","0","0","0","0","0.00","0","0.00","0","0.00","6","16","29","0.4394","37.50","42","78","35.00","- 6.76","71","99","22.14","0.6569","1991-11-29","18.79","19.09","74","SAR","-","R","2010","PIT (2010) - #152","PIT","-",""
"OHL","Tyler Taylor","DY+2","22184/tyler-taylor","F","2010","62","0.2258","0.0161","0.2419","11","3","3","14","0","1","0","1","0","0","0","0","0.00","0","0.00","0","0.00","11","15","18","0.2903","73.33","26","57","31.33","- 8.58","83","125","13.45","1.0795","1989-10-20","20.90","21.20","28","BELV/OSH","-","L","2008","-","-","-",""
"OHL","Tyler Brown (91)","DY+1","25055/tyler-brown","F","2010","62","0.1935","0.0161","0.2419","4","8","4","12","1","0","0","1","1","1","0","0","0.00","0","0.00","0","0.00","6","15","19","0.3065","38.46","23","28","45.10","- 8.33","117","102","11.73","1.2374","1991-04-04","19.45","19.74","16","LDN/PLY","-","L","2009","-","-","-",""
"OHL","Andrew Fritsch","DY-1","29012/andrew-fritsch","F","2010","62","0.1774","0.0645","0.2419","8","3","2","11","3","1","1","4","0","0","0","0","0.00","0","0.00","0","0.00","11","15","18","0.2903","73.33","23","28","45.10","- 6.81","109","101","12.23","1.1866","1993-03-24","17.48","17.77","22","NIAG","-","R","2011","ARI (2011) - #155","ARI","-",""
"OHL","Brian Lashoff","DY+2","23758/brian-lashoff","D","2010","58","0.1034","0.1034","0.2414","3","3","4","6","2","4","9","6","1","1","0","0","0.00","0","0.00","0","0.00","6","14","27","0.4655","41.67","45","55","45.00","- 9.64","106","88","21.71","0.6672","1990-07-16","20.16","20.46","18","KGN","-","L","2008","-","-","TBL",""
"AHL","Bryce Lampman","DY+10","10243/bryce-lampman","D","2010","54","0.1111","0.1296","0.2407","4","2","3","6","3","4","4","7","0","0","0","0","0.00","0","0.00","82","8.54","7","13","20","0.3704","53.85","31","44","41.33","- 4.40","59","70","20.81","0.6942","1982-08-31","28.04","28.33","26","PEO","6'01","L","2000","NYR (2001) - #113","NYR","-",""
"AHL","Josh Meyers","DY+6","15487/josh-meyers","D","2010","54","0.1111","0.1296","0.2407","1","5","2","6","2","5","3","7","0","0","0","0","0.00","0","0.00","63","4.76","3","13","18","0.3333","23.08","33","28","54.10","4.50","61","62","18.69","0.7726","1985-12-07","24.77","25.07","3","ABB","6'03","R","2004","LAK (2005) - #206","LAK","-",""
"SHL","Tommy Enstrom","DY+6","16730/tommy-enstrom","D","2010","54","0.1667","0.0741","0.2407","2","7","2","9","1","3","2","4","0","0","0","54","3.70","11","9.09","70","4.29","3","13","17","0.3148","23.08","20","30","40.00","1.78","60","97","15.47","0.9339","1986-07-30","24.13","24.42","22","RBK","5'10","L","2004","-","-","-",""
"QMJHL","Derek Famulare","DY+2","22368/derek-famulare","F","2010","54","0.2222","0.0000","0.2407","7","5","3","12","0","0","2","0","1","0","0","0","0.00","0","0.00","100","8.00","8","13","18","0.3333","58.33","21","30","41.18","- 3.50","84","104","13.44","1.0750","1989-12-22","20.73","21.03","10","BAT/PEI","-","L","2008","-","-","-",""
"QMJHL","Cory MacIntosh","DY","27304/cory-macintosh","F","2010","50","0.2200","0.0200","0.2400","6","5","0","11","0","1","0","1","0","0","0","0","0.00","0","0.00","57","10.53","6","12","12","0.2400","50.00","18","13","58.06","1.09","98","74","10.58","1.3610","1992-05-14","18.34","18.63","8","CAP","-","L","2010","-","-","-",""
"AHL","Chris Chelios","DY+30","14/chris-chelios","D","2010","46","0.1957","0.0217","0.2391","4","5","8","9","1","0","1","1","0","1","2","0","0.00","0","0.00","72","6.94","5","11","22","0.4783","50.00","55","27","67.07","11.24","67","53","20.77","0.6907","1962-01-25","48.64","48.93","7","CHI","6'00","R","1980","-","-","-",""
"OHL","Michael D Orazio","DY+2","23885/michael-d-orazio","D","2010","67","0.1493","0.0896","0.2388","2","8","6","10","3","3","3","6","0","0","2","0","0.00","0","0.00","0","0.00","5","16","27","0.4030","31.25","54","57","48.65","- 14.51","120","70","18.61","0.7700","1990-08-16","20.08","20.38","51","LDN","-","R","2008","-","-","-",""
"QMJHL","Gabriel O Connor","DY+1","24301/gabriel-o-connor","D","2010","67","0.1791","0.0597","0.2388","6","6","6","12","3","1","0","4","0","0","0","0","0.00","0","0.00","70","12.86","9","16","22","0.3284","56.25","63","53","54.31","- 0.90","106","86","19.52","0.7340","1990-12-14","19.75","20.05","45","ROU","-","R","2009","-","-","-",""
"QMJHL","Vincent Barnard","DY+1","24752/vincent-barnard","D","2010","67","0.1791","0.0597","0.2388","7","5","2","12","4","0","1","4","0","0","0","0","0.00","0","0.00","109","10.09","11","16","19","0.2836","68.75","37","47","44.05","- 8.93","98","87","18.79","0.7626","1991-02-23","19.56","19.86","4","GAT","-","L","2009","-","-","-",""
"OHL","Ben Chiarot","DY+1","25271/ben-chiarot","D","2010","67","0.1940","0.0448","0.2388","7","6","5","13","1","2","0","3","0","0","0","0","0.00","0","0.00","0","0.00","8","16","21","0.3134","50.00","65","72","47.45","6.20","73","104","19.98","0.7172","1991-05-09","19.35","19.64","7","GUE/SBY","-","L","2009","WPG (2009) - #120","WPG","MTL",""
"WHL","Brendan Rouse","DY","26502/brendan-rouse","F","2010","67","0.1642","0.0448","0.2388","2","9","5","11","3","0","4","3","1","1","1","0","0.00","0","0.00","0","0.00","6","16","26","0.3881","35.71","27","37","42.19","0.30","80","111","13.03","1.0996","1992-01-28","18.63","18.93","16","BDN/SEA","-","L","2010","-","-","-",""
"NCAA","Scott Wietecha","DY+4","18655/scott-wietecha","D","2010","21","0.0476","0.1905","0.2381","0","1","2","1","1","3","4","4","0","0","0","0","0.00","0","0.00","0","0.00","1","5","11","0.5238","20.00","10","10","50.00","- 10.00","30","20","19.41","0.7359","1987-10-19","22.91","23.20","3","FSU","6'01","R","2006","-","-","-",""
"NCAA","Mario Lamoureux","DY+4","19862/mario-lamoureux","F","2010","42","0.2381","0.0000","0.2381","7","3","2","10","0","0","0","0","0","0","0","0","0.00","0","0.00","0","0.00","7","10","12","0.2857","70.00","18","14","56.25","- 4.11","67","44","13.06","1.0941","1988-06-18","22.24","22.54","9","NDK","5'09","L","2006","-","-","-",""
"NCAA","Barry Almeida","DY+3","20490/barry-almeida","F","2010","42","0.2381","0.0000","0.2381","8","2","2","10","0","0","0","0","0","0","1","0","0.00","0","0.00","0","0.00","8","10","13","0.3095","80.00","19","18","51.35","- 14.87","100","51","12.88","1.1089","1988-11-20","21.82","22.11","9","BC","5'08","L","2007","-","-","-",""
"NCAA","Mark Goggin","DY+2","23814/mark-goggin","F","2010","21","0.2381","0.0000","0.2381","4","1","1","5","0","0","0","0","0","0","0","0","0.00","0","0.00","0","0.00","4","5","6","0.2857","80.00","8","10","44.44","1.39","31","41","12.03","1.1880","1990-07-29","20.13","20.42","13","DAR","5'11","L","2008","BOS (2008) - #197","BOS","-",""
"QMJHL","Simon Jodoin","DY+1","24234/simon-jodoin","D","2010","42","0.0952","0.1429","0.2381","1","3","13","4","3","3","2","6","0","0","0","0","0.00","0","0.00","81","4.94","4","10","25","0.5952","40.00","36","27","57.14","- 2.65","58","39","22.70","0.6294","1990-11-20","19.82","20.11","52","MON","-","L","2009","-","-","-",""
"SHL","Carl Klingberg","DY+1","24558/carl-klingberg","F","2010","42","0.2143","0.0238","0.2381","6","3","3","9","0","1","0","1","0","0","0","63","9.52","2","0.00","65","9.23","6","10","13","0.3095","60.00","15","13","53.57","0.54","70","62","7.60","1.8797","1991-01-28","19.63","19.93","17","FRO","6'03","R","2009","WPG (2009) - #34","WPG","-",""
"QMJHL","Joe Dube","DY","27165/joe-dube","F","2010","21","0.0476","0.1905","0.2381","0","1","2","1","3","1","0","4","0","0","0","0","0.00","0","0.00","33","9.09","3","5","7","0.3333","60.00","6","7","46.15","- 6.02","36","33","11.77","1.2136","1992-04-27","18.38","18.68","92","SHA","-","L","2010","-","-","-",""
"QMJHL","Jerome Raymond","DY","27204/jerome-raymond","F","2010","63","0.2381","0.0000","0.2381","9","6","6","15","0","0","2","0","0","0","0","0","0.00","0","0.00","76","11.84","9","15","23","0.3651","60.00","27","32","45.76","- 11.86","136","100","12.25","1.1664","1992-05-02","18.37","18.66","24","ROU","-","L","2010","-","-","-",""
"AHL","Cam Paddock","DY+9","11116/cam-paddock","F","2010","80","0.2125","0.0250","0.2375","14","3","8","17","1","1","0","2","0","0","0","0","0.00","0","0.00","123","12.20","15","19","27","0.3375","78.95","44","62","41.51","- 7.52","101","105","16.43","0.8671","1983-03-22","27.48","27.78","18","PEO","6'01","R","2001","PIT (2002) - #137","PIT","-",""
"AHL","Jamie Fraser","DY+6","15438/jamie-fraser","D","2010","59","0.1695","0.0678","0.2373","5","5","6","10","1","3","2","4","0","0","0","0","0.00","0","0.00","84","7.14","6","14","22","0.3729","42.86","40","41","49.38","2.81","68","78","19.69","0.7232","1985-11-17","24.83","25.12","4","HOU","6'01","L","2004","-","-","-",""
"AHL","Mike Duco","DY+5","18299/mike-duco","F","2010","59","0.1525","0.0847","0.2373","6","3","2","9","3","2","3","5","0","0","0","0","0.00","0","0.00","65","13.85","9","14","19","0.3220","64.29","24","25","48.98","- 8.02","110","83","12.50","1.1392","1987-07-08","23.19","23.48","14","RCH","5'10","L","2005","-","-","-",""
"WHL","Brenden Walker","DY","27619/brenden-walker","F","2010","59","0.2373","0.0000","0.2373","9","5","5","14","0","0","0","0","0","0","0","0","0.00","0","0.00","0","0.00","9","14","19","0.3220","64.29","26","19","57.78","- 7.07","166","90","10.65","1.3374","1992-07-06","18.19","18.49","8","BDN","-","R","2010","-","-","-",""
"NCAA","Andrew Buote","DY+6","16091/andrew-buote","F","2010","38","0.1842","0.0000","0.2368","3","4","3","7","0","0","0","0","2","0","0","0","0.00","0","0.00","0","0.00","5","9","12","0.3158","42.86","16","17","48.48","- 16.80","79","42","13.86","1.0256","1986-03-20","24.49","24.78","14","UNI","5'11","L","2004","-","-","-",""
"NCAA","Ryan Lowery","DY+4","20209/ryan-lowery","D","2010","38","0.1053","0.1316","0.2368","1","3","3","4","3","2","6","5","0","0","0","0","0.00","0","0.00","0","0.00","4","9","18","0.4737","44.44","22","25","46.81","- 5.23","51","47","20.89","0.6803","1988-09-06","22.03","22.32","24","CC","5'11","R","2006","-","-","-",""
"NCAA","Matt Crandell","DY+3","20534/matt-crandell","D","2010","38","0.2105","0.0263","0.2368","1","7","3","8","0","1","0","1","0","0","0","0","0.00","0","0.00","0","0.00","1","9","12","0.3158","11.11","23","16","58.97","6.17","47","42","17.17","0.8275","1988-12-09","21.77","22.06","21","MSU","5'10","L","2007","-","-","-",""
"SHL","Joakim Andersson","DY+3","20835/joakim-andersson","F","2010","55","0.2182","0.0182","0.2364","5","7","5","12","1","0","0","1","0","0","0","56","8.93","8","12.50","69","8.70","6","13","18","0.3273","46.15","27","20","57.45","5.59","84","78","14.53","0.9758","1989-02-05","21.61","21.91","18","FRO","6'02","L","2007","DET (2007) - #88","DET","-",""
"WHL","Shayne Neigum","DY+2","23043/shayne-neigum","D","2010","72","0.2361","0.0000","0.2361","11","6","5","17","0","0","1","0","0","0","1","0","0.00","0","0.00","0","0.00","11","17","24","0.3333","64.71","27","50","35.06","- 18.08","110","97","14.68","0.9651","1990-03-27","20.47","20.76","21","CWK","-","L","2008","-","-","-",""
"WHL","Joseph Antilla","DY+1","24467/joseph-antilla","F","2010","72","0.2083","0.0139","0.2361","11","4","7","15","1","0","1","1","1","0","0","0","0.00","0","0.00","0","0.00","13","17","25","0.3472","75.00","33","37","47.14","- 10.12","142","106","12.10","1.1708","1991-01-17","19.66","19.96","23","KTN","-","L","2009","-","-","-",""
"WHL","Brodie Melnychuk","DY+1","25301/brodie-melnychuk","D","2010","72","0.2083","0.0139","0.2361","6","9","6","15","1","0","0","1","0","1","1","0","0.00","0","0.00","0","0.00","7","17","24","0.3333","43.75","84","48","63.64","0.24","142","82","18.02","0.7861","1991-05-13","19.34","19.63","3","BDN","-","L","2009","-","-","-",""
"AHL","Tom Cavanagh","DY+10","11124/tom-cavanagh","F","2010","17","0.0588","0.1765","0.2353","1","0","3","1","2","1","1","3","0","0","0","0","0.00","0","0.00","20","15.00","3","4","8","0.4706","75.00","5","10","33.33","- 20.16","23","20","14.17","0.9963","1982-03-24","28.48","28.77","41","MCH","5'10","L","2000","SJS (2001) - #182","SJS","-",""
"AHL","Matt Lashoff","DY+5","16979/matt-lashoff","D","2010","68","0.1471","0.0882","0.2353","4","6","5","10","4","2","3","6","0","0","0","0","0.00","0","0.00","107","7.48","8","16","24","0.3529","50.00","41","58","41.41","- 8.31","89","90","20.67","0.6830","1986-09-29","23.96","24.26","21","NOR","6'02","L","2005","BOS (2005) - #22","BOS","-",""
"NCAA","Patrick Goebel","DY+5","18544/patrick-goebel","D","2010","34","0.1471","0.0588","0.2353","3","2","3","5","1","1","0","2","0","1","0","0","0.00","0","0.00","0","0.00","4","8","11","0.3235","57.14","18","21","46.15","- 10.58","59","45","17.19","0.8211","1987-09-11","23.01","23.31","6","MRC","5'08","L","2005","-","-","-",""
"NCAA","Aaron Stonacek","DY+4","18748/aaron-stonacek","F","2010","34","0.1471","0.0294","0.2353","1","4","3","5","1","0","0","1","0","2","0","0","0.00","0","0.00","0","0.00","2","8","11","0.3235","33.33","11","15","42.31","- 0.68","46","61","13.02","1.0847","1987-11-13","22.84","23.13","18","BEN","5'10","-","2006","-","-","-",""
"NCAA","Patrick Schafer","DY+4","18825/patrick-schafer","F","2010","34","0.2059","0.0294","0.2353","4","3","3","7","0","1","0","1","0","0","0","0","0.00","0","0.00","0","0.00","4","8","11","0.3235","50.00","12","11","52.17","1.66","49","48","13.49","1.0462","1987-12-24","22.73","23.02","9","OSU","5'10","R","2006","-","-","-",""
"AHL","Craig Schira","DY+4","19584/craig-schira","D","2010","68","0.1176","0.1176","0.2353","6","2","2","8","2","6","3","8","0","0","0","0","0.00","0","0.00","95","8.42","8","16","21","0.3088","50.00","39","53","42.39","- 4.28","91","104","19.28","0.7324","1988-04-21","22.40","22.69","6","BNG","6'00","R","2006","-","-","-",""
"NCAA","Furman South IV","DY+4","19620/furman-south","F","2010","34","0.1765","0.0588","0.2353","2","4","2","6","1","1","3","2","0","0","0","0","0.00","0","0.00","0","0.00","3","8","13","0.3824","37.50","11","14","44.00","- 4.70","56","59","13.41","1.0525","1988-04-28","22.38","22.68","25","RMU","6'02","R","2006","-","-","-",""
"NCAA","Luke Salazar","DY+3","20410/luke-salazar","F","2010","17","0.2353","0.0000","0.2353","1","3","0","4","0","0","1","0","0","0","0","0","0.00","0","0.00","0","0.00","1","4","5","0.2941","25.00","7","4","63.64","9.93","29","25","10.94","1.2902","1988-10-26","21.89","22.18","18","DEN","5'07","R","2007","-","-","-",""
"NCAA","David Brown","DY+3","21545/david-brown","D","2010","17","0.1176","0.1176","0.2353","0","2","1","2","0","2","1","2","0","0","0","0","0.00","0","0.00","0","0.00","0","4","6","0.3529","0.00","8","12","40.00","- 11.16","22","21","18.01","0.7838","1989-05-29","21.29","21.59","5","PRV","6'02","L","2007","-","-","-",""
"NCAA","Wes Consorti","DY+2","22209/wes-consorti","F","2010","17","0.1765","0.0588","0.2353","2","1","1","3","0","1","0","1","0","0","0","0","0.00","0","0.00","0","0.00","2","4","5","0.2941","50.00","7","5","58.33","6.67","31","29","11.70","1.2064","1989-10-31","20.88","21.17","20","NIA","5'10","R","2008","-","-","-",""
"WHL","Alexander Viklund","DY+1","24335/alexander-viklund","F","2010","68","0.1618","0.0735","0.2353","5","6","1","11","2","3","0","5","0","0","1","0","0.00","0","0.00","0","0.00","7","16","18","0.2647","43.75","22","26","45.83","- 2.52","103","110","11.07","1.2751","1990-12-28","19.71","20.01","29","CWK","-","L","2009","-","-","-",""
"WHL","Brent Benson","DY-1","29161/brent-benson","F","2010","64","0.1563","0.0781","0.2344","4","6","3","10","4","1","0","5","0","0","0","0","0.00","0","0.00","0","0.00","8","15","18","0.2813","53.33","23","24","48.94","- 8.68","140","103","10.91","1.2893","1993-04-13","17.42","17.72","27","SAS","-","L","2011","-","-","-",""
"AHL","Peter Zingoni","DY+11","8110/peter-zingoni","F","2010","47","0.1702","0.0638","0.2340","5","3","3","8","3","0","0","3","0","0","0","0","0.00","0","0.00","64","12.50","8","11","14","0.2979","72.73","21","15","58.33","13.58","64","79","13.50","1.0405","1981-04-28","29.38","29.68","10","HOU","5'10","L","1999","CBJ (2000) - #231","CBJ","-",""
"NCAA","Chris Fairbanks","DY+6","16669/chris-fairbanks","F","2010","30","0.2333","0.0000","0.2333","6","1","1","7","0","0","0","0","0","0","0","0","0.00","0","0.00","0","0.00","6","7","8","0.2667","85.71","10","10","50.00","8.67","31","44","12.31","1.1369","1986-07-15","24.17","24.46","19","ALH","5'11","R","2004","-","-","-",""
"NCAA","Chris Waterstradt","DY+5","18038/chris-waterstradt","D","2010","30","0.1000","0.1000","0.2333","2","1","1","3","1","2","2","3","1","0","0","0","0.00","0","0.00","0","0.00","4","7","10","0.3333","50.00","11","33","25.00","- 6.37","16","35","23.97","0.5840","1987-05-16","23.33","23.63","4","CON","6'02","-","2005","-","-","-",""
"NCAA","Darcy Findlay","DY+4","18597/darcy-findlay","F","2010","30","0.2000","0.0333","0.2333","5","1","1","6","1","0","0","1","0","0","0","0","0.00","0","0.00","0","0.00","6","7","8","0.2667","85.71","10","5","66.67","4.05","67","40","10.69","1.3096","1987-09-29","22.96","23.26","6","BMJ","5'10","R","2006","-","-","-",""
"AHL","Maxim Grachyov","DY+3","20295/maxim-grachyov","F","2010","30","0.1667","0.0667","0.2333","3","2","2","5","1","1","0","2","0","0","0","0","0.00","0","0.00","57","7.02","4","7","9","0.3000","57.14","8","6","57.14","4.26","55","49","11.16","1.2541","1988-09-26","21.97","22.26","23","BNG/RCH","5'11","L","2007","NYI (2007) - #106","NYI","-",""
"NCAA","Alex Tuckerman","DY+3","20573/alex-tuckerman","F","2010","30","0.1000","0.1333","0.2333","2","1","3","3","3","1","2","4","0","0","0","0","0.00","0","0.00","0","0.00","5","7","12","0.4000","71.43","9","11","45.00","- 1.91","38","43","13.24","1.0571","1988-12-23","21.73","22.02","27","NOE","5'10","L","2007","-","-","-",""
